Date,Export,Import
1991-01-01,635.57,950.41
1991-02-01,662.65,1094.81
1991-03-01,742.13,1076.87
1991-04-01,709.7,896.52
1991-05-01,688.51,983.15
1991-06-01,767.7,937.91
1991-07-01,793.5,1025.69
1991-08-01,741.2,967.43
1991-09-01,764.46,988.48
1991-10-01,756.88,1023.15
1991-11-01,751.08,1110.04
1991-12-01,826.13,996.9
1992-01-01,662.37,1037.69
1992-02-01,714.9,1032.51
1992-03-01,898.46,1164.81
1992-04-01,666.45,1196.81
1992-05-01,811.71,1186.29
1992-06-01,835.57,1088.95
1992-07-01,851.13,1166.41
1992-08-01,913.09,1399.19
1992-09-01,873.34,1335.7
1992-10-01,860.36,1330.79
1992-11-01,824.14,1255.04
1992-12-01,912.8,1324.72
1993-01-01,790.44,1183.58
1993-02-01,842.71,1181.68
1993-03-01,842.46,1390.57
1993-04-01,861.73,1504.0
1993-05-01,932.14,1460.29
1993-06-01,914.44,1335.13
1993-07-01,998.17,1553.48
1993-08-01,994.5,1512.67
1993-09-01,1018.3,1565.59
1993-10-01,1012.52,1654.69
1993-11-01,1163.36,1682.74
1993-12-01,1004.05,1572.98
1994-01-01,951.62,1650.56
1994-02-01,927.01,1349.04
1994-03-01,1057.67,1599.52
1994-04-01,965.79,1775.99
1994-05-01,1083.86,1810.36
1994-06-01,1125.27,2041.89
1994-07-01,1217.56,1768.46
1994-08-01,1178.01,1728.14
1994-09-01,1239.74,1967.95
1994-10-01,1299.34,1886.76
1994-11-01,1128.46,1860.74
1994-12-01,1308.55,1893.13
1995-01-01,1160.75,1855.58
1995-02-01,1263.77,1615.89
1995-03-01,1298.58,2142.54
1995-04-01,1377.42,2229.56
1995-05-01,1400.58,2143.63
1995-06-01,1521.69,2328.66
1995-07-01,1592.69,2175.49
1995-08-01,1591.45,2273.59
1995-09-01,1594.97,2444.22
1995-10-01,1601.65,2342.36
1995-11-01,1422.63,2414.72
1995-12-01,1621.01,2571.39
1996-01-01,1420.45,2236.09
1996-02-01,1594.01,2359.58
1996-03-01,1670.6,2760.47
1996-04-01,1491.87,2811.15
1996-05-01,1612.18,2712.35
1996-06-01,1793.39,2750.55
1996-07-01,1693.69,2838.7
1996-08-01,1773.89,2799.68
1996-09-01,1875.57,2870.06
1996-10-01,1883.71,2858.51
1996-11-01,1849.91,2711.55
1996-12-01,1883.27,2718.24
1997-01-01,1692.26,2837.89
1997-02-01,1812.42,2626.54
1997-03-01,2001.02,2935.16
1997-04-01,2082.43,2942.08
1997-05-01,1982.88,2954.37
1997-06-01,2129.08,3032.34
1997-07-01,2067.14,3169.2
1997-08-01,2257.97,3327.94
1997-09-01,2337.47,2956.48
1997-10-01,2326.05,3413.8
1997-11-01,2308.43,2945.29
1997-12-01,2230.56,2792.73
1998-01-01,2114.81,2837.9
1998-02-01,2227.2,2585.23
1998-03-01,2474.18,2613.6
1998-04-01,2284.5,2457.46
1998-05-01,2414.74,2624.02
1998-06-01,2389.57,2260.74
1998-07-01,2501.37,2465.59
1998-08-01,2652.45,2508.47
1998-09-01,2786.32,2454.45
1998-10-01,2542.3,2417.41
1998-11-01,2585.82,2373.4
